 FINAL RESULT:
 ITERATION:            1           1
 PARAMETERS PART
 RATIO   1.0000000000000000E-002
 TIME INTERVAL   1.5586728273048984E-007
 REPTATION TIME   9.3520369638293910E-002
 BREAKAGE TIME   9.3520369638293906E-004
 MICELLE LENGTH   2.5199999936376116E-006
 PLATAEU   43.641915576649765     
 Le   2.7999999208105919E-007
 Lp   1.9999999434361371E-008
 d   3.9999998868722741E-009
 DATA PART
   1.0327614057613975E-002   3.0383031906601421E-008   8.9304525171761320E-004
   1.0665961212302578E-002   3.2406461329571332E-008   9.2230266958339812E-004
   1.1015393095414151E-002   3.4564646763695194E-008   9.5251860158669600E-004
   1.1376272858234310E-002   3.6866562757092952E-008   9.8372444999785154E-004
   1.1748975549395297E-002   3.9321781557648296E-008   1.0159526458696901E-003
   1.2133888504649774E-002   4.1940512920239935E-008   1.0492366827418711E-003
   1.2531411749414162E-002   4.4733646565233313E-008   1.0836111514494423E-003
   1.2941958414499863E-002   4.7712797464821337E-008   1.1191117760717788E-003
   1.3365955165464419E-002   5.0890354145560972E-008   1.1557754510592472E-003
   1.3803842646028852E-002   5.4279530208004289E-008   1.1936402795761970E-003
   1.4256075936021878E-002   5.7894419277695662E-008   1.2327456131001192E-003
   1.4723125024327186E-002   6.1750053616090024E-008   1.2731320923181286E-003
   1.5205475297324954E-002   6.5862466635158436E-008   1.3148416893632704E-003
   1.5703628043335523E-002   7.0248759575697333E-008   1.3579177514345493E-003
   1.6218100973589299E-002   7.4927172626667302E-008   1.4024050458460008E-003
   1.6749428760264373E-002   7.9917160781365565E-008   1.4483498065516489E-003
   1.7298163592151014E-002   8.5239474745938862E-008   1.4957997821946683E-003
   1.7864875748520508E-002   9.0916247236759037E-008   1.5448042857306972E-003
   1.8450154191794736E-002   9.6971085025599869E-008   1.5954142456769079E-003
   1.9054607179632473E-002   1.0342916711546577E-007   1.6476822590400318E-003
   1.9678862897068449E-002   1.1031734945542036E-007   1.7016626459784021E-003
   2.0323570109362220E-002   1.1766427662997053E-007   1.7574115062547720E-003
   2.0989398836235244E-002   1.2550050098756931E-007   1.8149867775386337E-003
   2.1677041048196951E-002   1.3385860970375155E-007   1.8744482956185766E-003
   2.2387211385683399E-002   1.4277336030742080E-007   1.9358578565872905E-003
   2.3120647901755942E-002   1.5228182523401587E-007   1.9992792810638242E-003
   2.3878112829131781E-002   1.6242354600683812E-007   2.0647784805198658E-003
   2.4660393372343388E-002   1.7324069768786658E-007   2.1324235257789343E-003
   2.5468302525850417E-002   1.8477826428212761E-007   2.2022847177597129E-003
   2.6302679918953815E-002   1.9708422582523581E-007   2.2744346605370141E-003
   2.7164392688390823E-002   2.1020975793234178E-007   2.3489483367963261E-003
   2.8054336379517132E-002   2.2420944463855902E-007   2.4259031857603239E-003
   2.8973435877013228E-002   2.3914150541624138E-007   2.5053791836683755E-003
   2.9922646366081891E-002   2.5506803731346206E-007   2.5874589268926472E-003
   3.0902954325135904E-002   2.7205527322096132E-007   2.6722277177771776E-003
   3.1915378551007616E-002   2.9017385734192589E-007   2.7597736532891754E-003
   3.2960971217745778E-002   3.0949913901054134E-007   2.8501877165746231E-003
   3.4040818970100091E-002   3.3011148608159826E-007   2.9435638715133326E-003
   3.5156044052829814E-002   3.5209661919486337E-007   3.0399991603717738E-003
   3.6307805477010138E-002   3.7554596830478255E-007   3.1395938046550990E-003
   3.7497300224548356E-002   4.0055705295871422E-007   3.2424513092631831E-003
   3.8725764492161724E-002   4.2723388790572578E-007   3.3486785700589583E-003
   3.9994474976109737E-002   4.5568741572335557E-007   3.4583859849607779E-003
   4.1304750199016145E-002   4.8603596826219335E-007   3.5716875686743182E-003
   4.2657951880159257E-002   5.1840575882801506E-007   3.6887010711831579E-003
   4.4055486350655343E-002   5.5293140714913766E-007   3.8095481001213056E-003
   4.5498806015004847E-002   5.8975649931305534E-007   3.9343542471546979E-003
   4.6989410860521559E-002   6.2903418500196380E-007   4.0632492185031267E-003
   4.8528850016212099E-002   6.7092781451195105E-007   4.1963669697381700E-003
   5.0118723362727248E-002   7.1561161820623408E-007   4.3338458449971853E-003
   5.1760683195056764E-002   7.6327143122935226E-007   4.4758287207581262E-003
   5.3456435939697164E-002   8.1410546649764985E-007   4.6224631543245144E-003
   5.5207743928075731E-002   8.6832513918218370E-007   4.7739015371748772E-003
   5.7016427228074748E-002   9.2615594611460344E-007   4.9303012533360221E-003
   5.8884365535558897E-002   9.8783840377502558E-007   5.0918248429447375E-003
   6.0813500127871796E-002   1.0536290487647647E-006   5.2586401711678752E-003
   6.2805835881331804E-002   1.1238015049268445E-006   5.4309206026563212E-003
   6.4863443354823844E-002   1.1986476215545839E-006   5.6088451817141709E-003
   6.6988460941652658E-002   1.2784786874243902E-006   5.7925988183703345E-003
   6.9183097091893631E-002   1.3636267257045286E-006   5.9823724805458745E-003
   7.1449632607551342E-002   1.4544458751282152E-006   6.1783633925168698E-003
   7.3790423012910070E-002   1.5513138631783964E-006   6.3807752398787870E-003
   7.6207901002541226E-002   1.6546335774146694E-006   6.5898183812257635E-003
   7.8704578969509845E-002   1.7648347414811108E-006   6.8057100667641840E-003
   8.1283051616409946E-002   1.8823757027697322E-006   7.0286746640883194E-003
   8.3945998651939732E-002   2.0077453391787927E-006   7.2589438913520689E-003
   8.6696187575821704E-002   2.1414650929011729E-006   7.4967570580795105E-003
   8.9536476554959374E-002   2.2840911397065898E-006   7.7423613138640933E-003
   9.2469817393822248E-002   2.4362167027456176E-006   7.9960119052153340E-003
   9.5499258602143589E-002   2.5984745205049177E-006   8.2579724408192862E-003
   9.8627948563121043E-002   2.7715394791849384E-006   8.5285151654889441E-003
  0.10185913880541170        2.9561314204557236E-006   8.8079212430889290E-003
  0.10519618738232230        3.1530181362765481E-006   9.0964810487282107E-003
  0.10864256236170655        3.3630185632438967E-006   9.3944944705249608E-003
  0.11220184543019636        3.5870061897629679E-006   9.7022712212564387E-003
  0.11587773561551262        3.8259126902237185E-006   1.0020131160218096E-002
  0.11967405313072436        4.0807318013078061E-006   1.0348404625625994E-002
  0.12359474334445107        4.3525234565606196E-006   1.0687432777908037E-002
  0.12764388088113440        4.6424181964377824E-006   1.1037567954240371E-002
  0.13182567385564073        4.9516218721826532E-006   1.1399174034697467E-002
  0.13614446824659504        5.2814206631143478E-006   1.1772626820396009E-002
  0.14060475241299142        5.6331864282109341E-006   1.2158314424025443E-002
  0.14521116175877419        6.0083824142640438E-006   1.2556637673170704E-002
  0.14996848355023731        6.4085693443658595E-006   1.2968010526846150E-002
  0.15488166189124811        6.8354119120728218E-006   1.3392860505672986E-002
  0.15995580286146688        7.2906857082795308E-006   1.3831629136147256E-002
  0.16519617982290150        7.7762846096377726E-006   1.4284772409459336E-002
  0.17060823890031235        8.2942286592773212E-006   1.4752761255341699E-002
  0.17619760464116291        8.8466724726347873E-006   1.5236082031436570E-002
  0.18197008586099836        9.4359142033830924E-006   1.5735237028691892E-002
  0.18793168168032684        1.0064405106785777E-005   1.6250744993309762E-002
  0.19408858775927784        1.0734759740288279E-005   1.6783141665789775E-002
  0.20044720273651614        1.1449766843810460E-005   1.7332980337626046E-002
  0.20701413487910425        1.2212400945035107E-005   1.7900832426236430E-002
  0.21379620895022325        1.3025834738004868E-005   1.8487288068719739E-002
  0.22080047330189004        1.3893452286559685E-005   1.9092956735057773E-002
  0.22803420720004186        1.4818863107580333E-005   1.9718467861398074E-002
  0.23550492838960102        1.5805917192666142E-005   2.0364471504074121E-002
  0.24322040090738159        1.6858721030780997E-005   2.1031639015041799E-002
  0.25118864315095807        1.7981654698568575E-005   2.1720663739432541E-002
  0.25941793621188136        1.9179390089481198E-005   2.2432261735945983E-002
  0.26791683248190312        2.0456910357606466E-005   2.3167172520829966E-002
  0.27669416454115114        2.1819530657130565E-005   2.3926159836218014E-002
  0.28575905433749466        2.3272920263770071E-005   2.4710012443621639E-002
  0.29512092266663853        2.4823126170252119E-005   2.5519544943399239E-002
  0.30478949896279828        2.6476598254058125E-005   2.6355598621050205E-002
  0.31477483141013157        2.8240216122185937E-005   2.7219042321211882E-002
  0.32508729738543440        3.0121317744661198E-005   2.8110773350263359E-002
  0.33573761424295467        3.2127729995969739E-005   2.9031718408471283E-002
  0.34673685045253166        3.4267801231515606E-005   2.9982834552642182E-002
  0.35809643710263606        3.6550436034673267E-005   3.0965110190277544E-002
  0.36982817978026628        3.8985132279024831E-005   3.1979566106259766E-002
  0.38194427084004662        4.1582020659998671E-005   3.3027256523131029E-002
  0.39445730207527846        4.4351906860386382E-005   3.4109270196060859E-002
  0.40738027780411284        4.7306316525162699E-005   3.5226731543633913E-002
  0.42072662838444419        5.0457543232698511E-005   3.6380801815625627E-002
  0.43451022417157165        5.3818699661908080E-005   3.7572680298972774E-002
  0.44874538993313229        5.7403772168135455E-005   3.8803605563181326E-002
  0.46344691973628793        6.1227678994739532E-005   4.0074856746458068E-002
  0.47863009232263826        6.5306332362422063E-005   4.1387754883891278E-002
  0.49431068698683539        6.9656704694428812E-005   4.2743664279048743E-002
  0.51050499997540622        7.4296899252907674E-005   4.4143993920405938E-002
  0.52722986142282269        7.9246225479988908E-005   4.5590198944061786E-002
  0.54450265284242116        8.4525279356651928E-005   4.7083782144246036E-002
  0.56234132519034907        9.0156029113219141E-005   4.8626295533171209E-002
  0.58076441752131203        9.6161906647477773E-005   5.0219341951829623E-002
  0.59979107625550943        1.0256790503003865E-004   5.1864576733389629E-002
  0.61944107507678148        1.0940068250172018E-004   5.3563709420894445E-002
  0.63973483548264820        1.1668867339456631E-004   5.5318505541023619E-002
  0.66069344800759611        1.2446220643670935E-004   5.7130788435731467E-002
  0.68233869414166970        1.3275363093175342E-004   5.9002441153633969E-002
  0.70469306896714701        1.4159745133583400E-004   6.0935408403074591E-002
  0.72777980453682423        1.5103047079010536E-004   6.2931698568859579E-002
  0.75162289401820570        1.6109194420327853E-004   6.4993385794716085E-002
  0.77624711662869195        1.7182374151810846E-004   6.7122612133590401E-002
  0.80167806338767933        1.8327052183757256E-004   6.9321589767966416E-002
  0.82794216371233442        1.9547991913104875E-004   7.1592603302456828E-002
  0.85506671288468317        2.0850274028827535E-004   7.3938012130983485E-002
  0.88307990041856266        2.2239317633942370E-004   7.6360252880938201E-002
  0.91201083935590965        2.3720902771344330E-004   7.8861841936783666E-002
  0.94188959652284132        2.5301194446415281E-004   8.1445378045634759E-002
  0.97274722377696510        2.6986768245455513E-004   8.4113545007429028E-002
   1.0046157902783956        2.8784637655479241E-004   8.6869114452380963E-002
   1.0375284158180127        3.0702283197825886E-004   8.9714948708486938E-002
   1.0715193052376071        3.2747683495392386E-004   9.2654003761937151E-002
   1.1066237839776665        3.4929348401112299E-004   9.5689332313365447E-002
   1.1428783347897713        3.7256354323628909E-004   9.8824086932961464E-002
   1.1803206356517297        3.9738381894954583E-004  0.10206152331754839     
   1.2189895989248660        4.2385756134314198E-004  0.10540500365282277     
   1.2589254117941675        4.5209489272368686E-004  0.10885800008404230     
   1.3001695780332900        4.8221326410633169E-004  0.11242409829853188     
   1.3427649611378643        5.1433794202193118E-004  0.11610700122348162     
   1.3867558288718882        5.4860252751798375E-004  0.11991053284259068     
   1.4321878992735440        5.8514950946143450E-004  0.12383864213521763     
   1.4791083881682072        6.2413085438634821E-004  0.12789540714178063     
   1.5275660582380732        6.6570863527274878E-004  0.13208503915925970     
   1.5776112696993485        7.1005570179471622E-004  0.13641188707073329     
